ticker,volume,open,close,high,low,window_start,transactions
A,976363,140.5,140.91,141.715,139.88,1733979600000000000,20945
AA,3985123,39.4,39.62,39.89,39.045,1733979600000000000,40980
AAA,2704,25.1123,25.13,25.1537,25.08,1733979600000000000,44
AAAU,2667968,26.55,26.48,26.58,26.4185,1733979600000000000,4018
AACG,8616,0.89,0.879999,0.89,0.8503,1733979600000000000,93
AACT,17423,10.93,10.95,10.95,10.93,1733979600000000000,55
AACT.WS,16710,0.22,0.22,0.2204,0.21,1733979600000000000,10
AADI,57707,2.45,2.41,2.45,2.38,1733979600000000000,458
AADR,3657,70.01,70.13,70.61,69.92,1733979600000000000,44
AAL,17692173,17.61,17.24,17.8,17.225,1733979600000000000,68000
AAM,398781,10.07,10.07,10.075,10.07,1733979600000000000,15
AAM.WS,108637,0.0765,0.064,0.08,0.064,1733979600000000000,32
AAME,4410,1.55,1.53,1.55,1.49,1733979600000000000,61
AAOI,2692461,33.5,33,35.4486,32.95,1733979600000000000,28936
AAON,134070,132.45,131.27,133.3875,130.92,1733979600000000000,6094
AAP,1974406,45.33,44.04,45.64,42.92,1733979600000000000,22378
AAPB,80616,33.03,33.31,33.5031,32.74,1733979600000000000,869
AAPD,215930,15.61,15.56,15.7,15.5079,1733979600000000000,916
AAPL,32777532,246.89,247.96,248.74,245.68,1733979600000000000,353012
AAPR,5881,26.51,26.5035,26.515,26.48,1733979600000000000,10
AAPU,540433,37.16,37.49,37.74,36.74,1733979600000000000,5905
AAPX,28939,37.68,38.32,38.5,37.68,1733979600000000000,335
AAPY,2012,28.41,28.5891,28.68,28.41,1733979600000000000,59
AAT,308785,27.62,27.65,27.97,27.62,1733979600000000000,4609
AAXJ,478917,75.22,75.27,75.57,75.15,1733979600000000000,3958
AB,210647,36.08,36.17,36.47,36,1733979600000000000,3700
ABAT,406775,1,0.9765,1,0.923,1733979600000000000,1940
ABBV,4999451,174.91,173.19,175.9061,171.99,1733979600000000000,63303
ABCB,332068,67.75,67.41,68.04,66.96,1733979600000000000,6564
ABCL,3719165,2.88,2.95,2.96,2.79,1733979600000000000,12908
ABCS,2834,29.99,29.9249,30.055,29.9249,1733979600000000000,42
ABEO,158374,6,5.91,6.04,5.83,1733979600000000000,2803
ABEQ,3753,32.64,32.52,32.6465,32.52,1733979600000000000,27
ABEV,42277279,2.21,2.18,2.22,2.17,1733979600000000000,34487
ABG,107041,255.06,254.95,256.94,253.18,1733979600000000000,6169
ABL,328644,7.99,7.89,8.07,7.79,1733979600000000000,3893
ABLLL,6921,26.7501,26.68,27.1999,26.64,1733979600000000000,50
ABLLW,22406,1.15,1.15,1.1501,1.13,1733979600000000000,24
ABLV,4665,0.686,0.62,0.686,0.6105,1733979600000000000,42
ABLVW,2012,0.0132,0.0133,0.0133,0.0132,1733979600000000000,11
ABM,330706,56.5,56.44,56.8,56.2334,1733979600000000000,5620
ABNB,4254067,138.1,137.47,139.1,134.4001,1733979600000000000,64102
ABNY,21638,15.5,15.51,15.66,15.28,1733979600000000000,396
ABOS,339987,2.15,2.07,2.24,2.0508,1733979600000000000,3180
ABP,21090,1.7911,1.6,1.7948,1.55,1733979600000000000,133
ABR,1539156,14.31,14.27,14.54,14.22,1733979600000000000,11029
ABRpD,21885,19.18,19.3,19.3109,18.8258,1733979600000000000,124
ABRpE,29695,18.702,18.75,18.75,18.35,1733979600000000000,157
ABRpF,17420,22.24,22.38,22.71,22.1848,1733979600000000000,142
ABSI,6601007,4.5,3.68,4.51,3.46,1733979600000000000,27987
ABT,3764687,114.4,113.86,114.775,113.3,1733979600000000000,54551
ABTS,308260,0.59,0.45,0.59,0.41,1733979600000000000,607
ABUS,661401,3.64,3.56,3.75,3.56,1733979600000000000,6446
ABVC,343742,0.52,0.515,0.52,0.4716,1733979600000000000,1483
ABVE,109307,0.51,0.4882,0.526,0.4761,1733979600000000000,225
ABVEW,1892,0.0267,0.021003,0.0269,0.0202,1733979600000000000,27
ABVX,57391,7.8,7.65,7.955,7.65,1733979600000000000,788
AC,3962,35.86,36.97,36.97,35.86,1733979600000000000,209
ACA,190746,107.44,108,109.04,106.955,1733979600000000000,5834
ACAD,1363080,17.92,17.26,18.19,17.25,1733979600000000000,15262
ACB,447497,4.26,4.27,4.3872,4.2449,1733979600000000000,3690
ACCD,605675,3.63,3.48,3.635,3.48,1733979600000000000,5490
ACCO,640011,6.04,6.04,6.12,5.99,1733979600000000000,5986
ACDC,418459,8,7.95,8.25,7.86,1733979600000000000,5803
ACEL,302564,12,11.82,12.06,11.81,1733979600000000000,3639
ACES,427358,27.72,27.36,27.72,27.35,1733979600000000000,1854
ACET,454204,1.02,0.9744,1.04,0.96,1733979600000000000,2186
ACGL,1449200,94.23,93.92,95.355,93.665,1733979600000000000,24986
ACGLN,35264,19.35,19.3,19.47,19.22,1733979600000000000,311
ACGLO,39790,22.5,22.38,22.62,22.3484,1733979600000000000,317
ACGR,13423,59.76,59.7384,59.9,59.7384,1733979600000000000,63
ACHC,1832283,42.24,40.34,42.43,40.25,1733979600000000000,19354
ACHL,207902,1.02,0.99,1.02,0.98,1733979600000000000,714
ACHR,56677537,7,7.17,7.45,6.85,1733979600000000000,186093
ACHR.WS,211563,2.17,2,2.17,1.93,1733979600000000000,520
ACHV,161464,4.19,4.14,4.3128,4.12,1733979600000000000,1757
ACI,18194976,18.37,19.12,19.235,18.085,1733979600000000000,107611
ACIC,87354,14.15,13.86,14.25,13.76,1733979600000000000,2272
ACIO,131538,41.19,41.03,41.19,41.0001,1733979600000000000,415
ACIU,143008,3.1,2.99,3.114,2.94,1733979600000000000,1250
ACIW,609598,55.15,54.6,56.18,54.59,1733979600000000000,13846
ACLC,57467,73.21,73.09,73.51,73.09,1733979600000000000,55
ACLO,45,50.195,50.195,50.195,50.195,1733979600000000000,3
ACLS,335346,75.13,75.66,76.315,74.21,1733979600000000000,10303
ACLX,487981,85.87,83.42,87.91,82.52,1733979600000000000,11535
ACM,630645,112.73,112.03,112.86,111.42,1733979600000000000,12269
ACMR,861144,15.35,15.26,15.6,15.2,1733979600000000000,11585
ACN,1834173,361.31,360.18,362,355.4,1733979600000000000,43153
ACNB,13695,46.45,46.44,46.6,45.83,1733979600000000000,613
ACNT,19226,11.8,11.62,11.85,11.62,1733979600000000000,683
ACOG,63810,5.72,5.74,5.8,5.63,1733979600000000000,447
ACON,1433748,0.127,0.114,0.1299,0.1099,1733979600000000000,1513
ACP,3849696,6.11,6.01,6.14,5.9634,1733979600000000000,7967
ACPpA,1465,24.79,24.5199,25,24.5199,1733979600000000000,10
ACR,15080,17.3,17.14,17.37,17.14,1733979600000000000,192
ACRpC,9775,25.18,25.08,25.18,25.08,1733979600000000000,82
ACRpD,8185,23.05,22.985,23.06,22.985,1733979600000000000,57
ACRE,491680,7.09,7.17,7.27,7.09,1733979600000000000,4021
ACRS,683133,3.53,3.27,3.57,3.26,1733979600000000000,5083
ACRV,72428,7.44,7.02,7.77,7,1733979600000000000,1462
ACSI,105,63.4638,63.4638,63.4638,63.4638,1733979600000000000,7
ACT,177327,34.51,34.61,34.95,34.48,1733979600000000000,5894
ACTG,251274,4.53,4.5,4.57,4.49,1733979600000000000,2687
ACTU,45164,7.93,8.29,8.4037,7.69,1733979600000000000,2383
ACTV,8714,33.9256,33.76,33.9256,33.7209,1733979600000000000,102
ACU,6090,43.49,43.51,44.3,43.469,1733979600000000000,726
ACV,29078,23.34,22.84,23.34,22.84,1733979600000000000,279
ACVA,911775,21.28,20.94,22,20.8,1733979600000000000,14039
ACVF,5424,45.51,45.2228,45.51,45.22,1733979600000000000,133
ACWI,2622701,122.71,122.2,122.9,122.175,1733979600000000000,20004
ACWV,92724,113.7,113.55,113.943,113.49,1733979600000000000,912
ACWX,1236618,54.94,54.67,55.05,54.6548,1733979600000000000,5854
ACXP,92597,0.88,0.887,0.91,0.88,1733979600000000000,286
ADAG,305129,2.1,2.11,2.15,2.02,1733979600000000000,565
ADAP,2054014,0.625,0.6315,0.6464,0.6091,1733979600000000000,4076
ADBE,17344864,487.5,474.63,494,470.9001,1733979600000000000,410042
ADC,461180,74.09,73.64,74.74,73.56,1733979600000000000,11069
ADCpA,20858,19.62,19.2,19.695,19.17,1733979600000000000,172
ADCT,1389898,2.31,1.98,2.3499,1.96,1733979600000000000,6440
ADD,103662,2.92,2.9,3,2.85,1733979600000000000,2676
ADEA,608790,13.97,14.3,14.5,13.885,1733979600000000000,9993
ADFI,16103,8.52,8.4993,8.54,8.4993,1733979600000000000,58
